nWord_title,nStanza,q3_nSyll_lg,MADmed_nSyll_lg,rstd_nSyll_lg,rhyme_abcdb,rhyme_abca,rhyme_aaaa,q1_nWord_l,MADmed_nSyll_l,SCONJ,DET,ADP,med_lenWord,PUNCT,range_lenAll,class_label
3,3,26.0,0.0,0.0,0,0,0,2.0,2.0,0,6,0,4.5,15.0,3.0,1
3,3,20.0,0.0,0.0,0,0,0,3.0,0.0,0,2,0,5.0,13.0,1.0,1
3,5,45.0,0.0,0.0,4,0,0,4.0,0.0,1,18,1,5.0,36.0,1.0,1
3,2,51.0,0.0,0.0,0,0,0,4.0,0.5,0,6,0,5.0,19.0,1.0,1
3,7,44.0,0.0,0.0,0,0,0,4.0,0.0,4,10,0,5.0,51.0,3.0,1
2,5,28.0,0.0,0.0,0,0,0,3.5,0.0,1,4,0,4.0,23.0,4.0,1
3,4,36.0,0.0,0.0,0,0,0,3.5,0.0,0,7,0,5.0,25.0,2.0,1
3,2,48.0,0.0,0.0,0,0,0,3.0,0.0,1,1,0,5.0,13.0,3.0,1
4,8,35.0,0.0,0.0,0,0,1,3.0,0.0,0,5,2,5.0,40.0,2.0,1
3,4,36.25,0.0,0.014,0,0,0,3.75,1.0,0,9,2,5.0,15.0,1.0,1
3,9,24.0,0.0,0.0,0,0,0,5.0,0.0,0,13,0,5.0,33.0,5.0,1
3,4,26.0,0.0,0.0,0,0,0,4.0,0.0,1,6,0,5.0,20.0,1.0,1
3,3,40.5,0.0,0.014,2,0,0,3.0,1.0,0,10,1,5.0,17.0,3.0,1
3,2,28.0,0.0,0.0,0,0,0,3.0,0.0,1,4,0,4.5,7.0,4.0,1
3,5,40.0,0.0,0.0,0,0,0,4.0,1.0,2,8,1,5.0,29.0,2.0,1
3,5,40.0,0.0,0.011,0,0,0,4.0,0.0,0,10,2,5.0,30.0,3.0,1
3,5,40.0,0.0,0.0,0,0,0,4.0,1.0,2,10,2,5.0,34.0,1.0,1
4,5,42.0,0.0,0.017,3,0,0,3.0,0.0,1,10,1,5.0,28.0,2.0,1
3,2,36.0,0.0,0.0,0,0,0,4.75,0.0,0,5,0,5.0,11.0,3.0,1
2,4,31.0,0.0,0.0,0,0,0,2.0,1.0,2,4,1,5.0,27.0,1.0,1
4,1,159.0,0.0,0.0,0,0,0,2.5,1.0,0,3,0,7.0,31.0,1.0,1
3,10,47.0,0.0,0.0,0,0,0,4.0,0.0,3,23,3,5.0,72.0,2.0,1
3,4,31.0,0.0,0.0,0,0,0,3.0,1.0,0,9,0,5.0,20.0,1.0,1
3,7,35.0,0.0,0.0,0,0,0,4.0,0.0,1,13,1,5.0,31.0,0.0,1
3,2,39.0,0.0,0.0,1,0,0,4.0,0.0,2,5,2,5.0,12.0,1.0,1
3,5,27.0,0.0,0.017,0,0,1,2.0,1.5,2,6,0,5.5,23.0,1.0,1
3,9,18.0,0.0,0.0,0,0,0,3.25,0.0,0,2,0,6.0,22.0,0.0,1
3,4,22.0,0.0,0.0,0,0,0,1.0,2.0,1,2,0,5.0,14.0,2.0,1
3,3,36.0,0.0,0.0,0,0,0,4.0,0.0,0,4,0,6.0,16.0,5.0,1
3,6,36.0,0.0,0.0,0,0,0,3.75,0.0,0,12,3,5.0,29.0,3.0,1
3,3,35.0,0.0,0.0,0,0,0,2.75,0.5,2,10,0,4.0,23.0,0.0,1
3,4,30.0,0.0,0.0,0,0,0,5.0,1.0,0,6,3,5.0,16.0,1.0,1
3,17,42.0,0.0,0.0,13,0,0,4.0,0.0,2,40,8,5.0,132.0,4.0,1
3,6,32.0,0.0,0.0,0,0,0,3.0,1.5,1,11,2,5.0,33.0,1.0,1
3,3,43.0,0.0,0.0,0,0,0,4.0,2.0,0,9,3,5.0,22.0,5.0,1
3,4,23.0,0.0,0.022,0,0,0,4.0,0.0,1,12,0,4.0,17.0,1.0,1
3,5,30.0,0.0,0.0,0,0,0,3.0,1.0,0,11,0,4.0,25.0,0.0,1
2,3,43.5,1.0,0.023,2,0,0,3.5,0.0,0,3,0,5.0,24.0,3.0,1
3,3,43.0,0.0,0.0,0,0,0,4.0,0.0,0,7,1,4.0,23.0,2.0,1
3,4,41.0,0.0,0.0,0,0,0,3.75,0.0,1,3,2,5.0,26.0,3.0,1
3,4,31.0,0.0,0.0,0,0,0,5.0,0.0,4,13,0,4.0,16.0,1.0,1
4,5,29.0,0.0,0.0,0,0,0,2.75,0.0,0,1,0,5.0,41.0,3.0,1
3,5,28.0,0.0,0.0,0,0,0,3.0,0.0,0,5,1,5.0,27.0,6.0,1
3,6,32.0,0.0,0.0,0,0,0,4.0,0.0,4,15,1,4.0,47.0,2.0,1
4,4,37.0,0.0,0.0,0,0,0,3.0,0.0,2,4,0,5.0,19.0,1.0,1
4,18,31.0,0.5,0.116,3,0,0,3.0,0.5,0,43,1,5.0,66.0,3.0,1
3,3,29.0,0.0,0.0,0,3,0,2.0,0.5,0,5,0,5.0,11.0,1.0,1
3,6,30.0,0.0,0.0,0,0,0,3.0,0.5,2,10,0,5.0,32.0,1.0,1
3,4,42.0,0.0,0.0,4,0,0,4.0,0.0,0,12,0,5.0,30.0,6.0,1
3,6,35.0,0.0,0.0,0,0,0,4.0,0.0,4,12,2,5.0,28.0,1.0,1
3,5,31.0,0.0,0.0,0,0,0,3.0,0.0,0,10,0,5.0,15.0,1.0,1
